Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,,,,,,,,,,,,
2018,57,57,2018-02-14,@,CHI,W,122,98,122,98,100,0.163,0.413,0.619,54.3,79.2,5,11.9,,0.598,6.6,11.6,0.13,,0.451,5.7,91.8,0.176,4,24,0.167,16,20,0.8,4,42,17,5,6,6,16
2018,58,58,2018-02-23,,MIL,L,119,122,112.9,115.7,95.5,0.289,0.378,0.587,42,53.5,6.6,12.5,,0.528,10.6,11.6,0.267,,0.55,15,71.1,0.256,13,26,0.5,23,27,0.852,13,51,21,6,3,18,24
2018,59,59,2018-02-26,,DET,W,123,94,122.8,93.9,100.1,0.288,0.475,0.682,52.8,73.8,10,9.7,,0.631,16.6,17.1,0.275,,0.42,11.2,75.9,0.16,7,22,0.318,15,20,0.75,13,42,20,11,3,13,22
2018,60,60,2018-02-28,@,ORL,W,117,104,121.1,107.6,96.6,0.289,0.361,0.625,50,73.3,9.3,13.5,,0.614,11.4,17.1,0.181,,0.555,12.4,81.4,0.159,13,30,0.433,13,23,0.565,8,42,27,8,2,13,19
2018,61,61,2018-03-02,@,WAS,W,102,95,115.7,107.7,88.2,0.41,0.423,0.554,42,52.8,10.2,9.1,,0.526,7.1,20,0.256,,0.513,16.2,63.4,0.177,9,24,0.375,14,21,0.667,15,47,24,2,5,17,25
2018,62,62,2018-03-04,,CHO,W,103,98,104.8,99.7,98.3,0.325,0.494,0.543,52.1,62.9,5.1,12.5,,0.494,13.7,19.6,0.253,,0.406,8.2,82,0.341,5,21,0.238,29,35,0.829,9,46,16,7,4,9,21
2018,63,63,2018-03-06,,ATL,W,106,90,112.9,95.9,93.9,0.375,0.409,0.517,50.6,73.5,12.8,13.6,,0.443,10.5,34.7,0.318,,0.463,19,70,0.2,6,21,0.286,16,21,0.762,12,44,22,8,6,21,25
2018,64,64,2018-03-07,@,DET,W,121,119,114.5,112.6,95.7,0.208,0.396,0.549,48,73.3,8.5,10.9,,0.505,7.5,20.8,0.188,,0.561,13.8,80,0.2,13,26,0.5,18,23,0.783,9,51,27,2,7,16,23
2018,65,65,2018-03-09,,HOU,W,108,105,115.1,111.9,93.9,0.165,0.447,0.592,53.8,53.7,7.5,3.7,,0.571,14.9,29.3,0.129,,0.549,12.5,81.1,0.198,9,27,0.333,16,23,0.696,7,36,15,9,3,13,13
2018,66,66,2018-03-11,@,NYK,W,132,106,134.3,107.8,98.3,0.269,0.376,0.635,58.4,68.1,3.1,4.5,,0.591,9.6,32.6,0.237,,0.494,9.2,82.6,0.216,7,21,0.333,19,24,0.792,8,37,21,7,4,10,19
2018,67,67,2018-03-13,@,BRK,W,116,102,122.5,107.7,94.7,0.231,0.341,0.579,58.2,61.4,7.4,12,,0.544,9.9,31,0.187,,0.494,10.4,81.6,0.198,15,36,0.417,17,19,0.895,9,38,21,9,6,11,19
2018,68,68,2018-03-15,@,IND,W,106,99,114.7,107.1,92.4,0.354,0.405,0.58,62.6,57.1,4.3,11.6,,0.519,18,43.9,0.304,,0.468,7.4,78,0.129,7,24,0.292,12,17,0.706,11,34,17,12,1,8,25
2018,69,69,2018-03-16,,DAL,W,122,115,120.3,113.4,91.9,0.341,0.33,0.583,55.6,60.5,4.9,11.6,,0.527,11.1,28.6,0.286,,0.56,9.2,84.6,0.143,6,22,0.273,13,18,0.722,6,36,25,7,5,10,27
2018,70,70,2018-03-18,,OKC,L,125,132,123.2,130.1,101.5,0.284,0.37,0.686,44.3,67.4,4.9,1.5,,0.66,17.3,24.2,0.222,,0.614,14.2,62.2,0.273,10,21,0.476,24,34,0.706,14,39,27,11,2,17,24
2018,71,71,2018-03-20,@,ORL,W,93,86,99.7,92.2,93.3,0.221,0.468,0.55,50,54.3,7.5,12.3,,0.545,16.8,14.6,0.117,,0.461,11.5,79.6,0.033,9,25,0.36,3,5,0.6,10,45,22,13,7,12,16
